ionizable_ratio,helper_ratio,sterol_ratio,peg_ratio,particle_size_nm,encapsulation_efficiency,ionizable_4A3-SC8,ionizable_A2-Iso5-2DC18,ionizable_ALC-0315,ionizable_AX4,ionizable_C12-200,ionizable_Custom lipid,ionizable_DLin-KC2-DMA,ionizable_DLin-MC3-DMA,ionizable_DLinDMA,ionizable_DODAP,ionizable_DOTAP,ionizable_DOTMA,ionizable_L202,ionizable_OF-02,ionizable_Other,ionizable_SM-102
35.0,16.0,46.5,2.5,192.2,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,178.9,84.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,193.7,74.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,181.2,82.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,195.1,81.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,181.8,79.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,203.4,85.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,174.0,81.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,164.2,85.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,143.6,85.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,195.5,80.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,179.2,80.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,181.7,83.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,141.6,82.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,171.4,78.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,155.0,79.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,156.3,82.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,190.5,83.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,191.3,84.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,190.4,84.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,204.3,81.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,169.6,86.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,201.5,82.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,162.3,83.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,143.2,75.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,126.7,85.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,113.9,73.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,115.4,75.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,109.2,80.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,114.1,84.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,71.48,92.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,10.0,38.5,1.5,82.84,92.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.5,20.0,52.0,1.5,69.41,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26.5,20.0,52.0,1.5,68.29,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26.5,20.0,52.4,1.1,78.37,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,16.0,46.5,2.5,105.0,65.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,120.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,16.0,46.5,2.5,85.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,16.0,46.5,2.5,90.0,62.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,82.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,88.0,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,108.0,68.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,98.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,95.0,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46.3,9.4,41.8,2.5,66.55,93.176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46.3,9.4,42.7,1.6,78.57,92.391,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50.0,10.0,38.4,1.6,96.95,96.439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50.0,10.0,38.5,1.5,94.42,95.558,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50.0,10.0,38.4,1.6,92.45,91.141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50.0,10.0,38.4,1.6,75.26,93.162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50.0,10.0,38.5,1.5,77.76,91.161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50.0,10.0,38.4,1.6,78.82,92.526,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50.0,10.0,38.5,1.5,82.88,92.043,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46.3,9.4,42.7,1.6,69.44,90.146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50.0,10.0,37.5,2.5,82.11,92.571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46.3,9.4,41.8,2.5,51.13,91.816,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.3,9.4,42.7,1.6,50.99,93.363,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,10.0,38.5,1.5,51.89,91.361,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,10.0,37.5,2.5,57.25,90.261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,10.0,37.5,2.5,57.0,93.491,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,10.0,38.4,1.6,57.13,90.138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,10.0,38.4,1.6,55.88,79.216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,37.5,2.5,57.44,74.532,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,37.5,2.5,56.43,84.168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46.3,9.4,42.7,1.6,51.82,75.923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,38.4,1.6,56.13,80.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46.3,8.4,42.8,2.5,51.08,77.349,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,54.7,85.416,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,38.5,10.0,1.5,63.5,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,10.0,38.5,1.5,213.5,66.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,83.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,77.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,200.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,186.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,81.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,109.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,139.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,10.0,38.5,1.5,199.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.3,9.5,42.7,1.5,104.0,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46.3,9.5,42.7,1.5,120.0,32.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46.3,9.5,42.7,1.5,71.0,88.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,106.97,94.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,100.77,89.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,97.96,88.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,93.44,94.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,116.6,93.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,114.57,75.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,96.88,86.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,94.61,84.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,101.1,77.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,120.03,93.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,101.8,74.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,102.97,73.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,129.77,71.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,82.11,88.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,92.32,89.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,107.0,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,3.0,97.0,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,5.0,83.0,76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,145.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,3.0,113.0,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,10.0,38.5,5.0,98.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,71.0,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,5.0,62.0,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,5.0,61.0,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,5.0,54.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60.0,20.0,19.0,1.0,118.9,91.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45.0,20.0,34.0,1.0,109.9,92.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45.0,5.0,49.0,1.0,112.9,93.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.0,10.0,38.5,1.5,123.3,87.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45.0,20.0,34.0,1.0,109.8,93.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,10.0,38.5,1.5,111.2,89.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.0,20.0,34.0,1.0,108.1,91.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46.3,9.4,42.7,1.6,113.9,88.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45.0,20.0,34.0,1.0,78.7,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.0,20.0,34.0,1.0,92.16,84.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45.0,20.0,34.0,1.0,85.05,93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
